datetime,121fad25495a747a_apcd.1020,1255097a8d1069dc_arb3.2015,2275481147c5c093_apcd.1021,27a9a690d3e5fea7_arb3.2067,3f17a85a8e1653c0_arb3.2001,7220aaf21ed7f3e4_apcd.1055,7c5c4524cabdf95d_arb3.2023,a56f36849142ff48_arb3.2019,c8f9f28ffb221422_arb3.2062,c9433af1b72dae1e_apcd.1019,cec6dc2148ab7bb3_arb3.2034,e7e2789cdae091ac_apcd.1029
2022-11-17T14:00:00Z,13,,,,,7.2,,-2.9,0.8,10,5.6,
2022-11-17T15:00:00Z,18,,,,,8,,-5.8,0.5,8,-4.6,
2022-11-17T16:00:00Z,-1,,,,,7.8,,1.5,-1.3,30,-0.3,-5
2022-11-17T17:00:00Z,-5,,,,,4.9,,1.4,-1.4,,15.3,-5
2022-11-17T18:00:00Z,21,4.9,,,,8,,1.9,3.1,22,8.5,-0
2022-11-17T19:00:00Z,-5,5.7,,-14.7,,4.6,,-2.9,-2.1,11,-1.9,-0
2022-11-17T20:00:00Z,10,7.2,,-4.2,0.6,0.4,,-0.9,6.1,-3,4.8,-1
2022-11-17T21:00:00Z,-0,7.3,,-5.3,13,,,5.3,9.5,7,4.6,13
2022-11-17T22:00:00Z,7,5.5,,11.2,3.4,,,3.8,6.5,-0,6.5,5
2022-11-17T23:00:00Z,3,4.4,,7.8,8.7,,,5.2,10.2,-5,-0.1,5
2022-11-18T00:00:00Z,-5,5.8,,7.9,29.4,,,2.1,0.3,2,13.3,9
2022-11-18T01:00:00Z,-4,2.9,,,4.3,,,0.7,3.3,-1,12,15
2022-11-18T02:00:00Z,-1,5.6,,,,,,2.6,12.1,2,3.8,12
2022-11-18T03:00:00Z,11,4.6,,,,,,-2.8,9.2,15,-6.9,13
2022-11-18T04:00:00Z,6,5.3,,,,,,0.5,20.4,38,4.2,39
2022-11-18T05:00:00Z,9,6.3,,,,,,-1.2,30.6,29,-1,41
2022-11-18T06:00:00Z,8,3.6,,,,,,0.6,23.5,14,0.2,
2022-11-18T07:00:00Z,7,5.8,,,,,,-2.4,33.3,30,2.8,50
2022-11-18T08:00:00Z,1,5.8,,,,,,0.7,23.7,19,2.6,
2022-11-18T09:00:00Z,-1,3.5,,,,,,,29.7,6,-0.6,
2022-11-18T10:00:00Z,5,8.7,,,,,,,9.1,4,3.3,
2022-11-18T11:00:00Z,8,0.3,,,,,,,8.3,15,3,
2022-11-18T12:00:00Z,4,3.7,,,,,,,9.3,12,0.5,
2022-11-18T13:00:00Z,-1,0.9,,,,,,,6.9,33,5.4,
2022-11-18T14:00:00Z,8,3,,,,,,,0.2,51,2.5,
2022-11-18T15:00:00Z,1,4.3,,,,,,-10.3,-0.8,53,9.9,
2022-11-18T16:00:00Z,-3,5.3,,,,,,6.7,1.4,38,4.4,-5
2022-11-18T17:00:00Z,-2,6.1,,-8.6,,,,-3.6,-5.5,-5,12.7,-1
2022-11-18T18:00:00Z,-5,8.7,,-1.2,,,,3.7,-3.5,27,11.4,2
2022-11-18T19:00:00Z,15,0.1,,5.6,9.7,,,4.9,0.9,2,10.3,3
2022-11-18T20:00:00Z,3,8.4,,-7.2,5.2,,,1.2,4.6,1,9.9,-4
2022-11-18T21:00:00Z,-1,3.7,,7.4,7.6,,,3,8.2,4,11.1,8
2022-11-18T22:00:00Z,9,3.7,,10.8,6.9,,,1.5,2.3,5,9.6,8
2022-11-18T23:00:00Z,8,10.6,,5.2,5.9,,,11.4,21.2,-5,15.3,2
2022-11-19T00:00:00Z,-5,4.1,,1.8,9,,,8.6,4,4,24.8,6
2022-11-19T01:00:00Z,1,1.1,,27.3,-0.1,,,,2.8,2,-7.8,-1
2022-11-19T02:00:00Z,11,5.6,,1.6,-1.6,,,,6.6,-2,3.1,7
2022-11-19T03:00:00Z,10,2.5,,1.5,1.1,,,,16.9,12,1.7,5
